feature,importance
therm_DemParty,1.748425714496647
Party_id3_1. Democrats (including leaners),1.1539266573225395
Party_id7_1. Strong Democrat,0.47414889380303304
therm_Mislims,0.4445885130810215
approve_pres_2. Disapprove,0.425695421073336
therm_hispanics,0.39873888220796294
"VCF9030_3. Yes, contact: both major parties",0.3440674829811862
"VCF9030b_1. Yes, contact by Democratic party",0.31017764182268487
therm_liberals,0.2319430737216755
"education7_3. 12 grades, diploma or equivalency",0.22173256690327564
"education6_3. 12 grades, diploma or equivalency",0.22173256690327564
ideology7_3. Slightly liberal,0.16952027494150296
Family_income_2. 17 to 33 percentile,0.16867531928963717
VCF0130_2. Almost every week (no cases in 1970),0.1663914351576757
authoritarian2_1. Obedience,0.16517673410924927
