feature,importance
Party_id3_3. Republicans (including leaners),-1.0276814004474142
therm_RepParty,-0.8780354859023456
therm_Whites,-0.6821076819480595
therm_Blacks,-0.6817545684343355
approve_president_economy_2. Approve not strongly,-0.597202141401149
therm_conservatives,-0.4982613175352113
VCF0130_1. Every week (Except 1970: almost every week),-0.37772545961886383
religion_1. Protestant,-0.341001307414648
"approve_pres_strength_2. Approve, not strongly",-0.29576474836080335
Party_id7_7. Strong Republican,-0.25258855141538905
VCF9031_1. Yes,-0.24700227729713692
Interest_elections_1. Not much interested,-0.2261646397548139
VCF0890_2.   Same,-0.2250634962666763
follow_political_info_2. Most of the time,-0.20683208622266572
Race3_3. Other,-0.2036235705393022
