feature,importance
therm_Christians,0.7844216260644963
therm_Mislims,-0.20867501896557475
therm_ChrFundament,-0.03276622780341681
therm_hispanics,0.26733844272485296
therm_RepParty,-1.1249809921987417
therm_DemParty,0.6893500131796545
therm_Whites,-0.495241447455627
therm_liberals,0.2380115521875552
therm_conservatives,-0.7163486278553656
therm_Blacks,0.07866819075288459
Age,0.05911944529013898
howOftenTrust_2. Most of the time,0.0
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_2. Just about the right amount,0.0
blackInfluence_Politics_3. Too little influence,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,-0.060874939402919215
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_1. Yes,-0.17096633218660934
have_healthInsurance_2. No,0.019287914611555258
authoritarian2_1. Obedience,0.1717360825786897
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.0
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.05249448541524955
authoritarian1_1. Curiosity,0.0
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.014673337983189169
authoritarian3_1. Being considerate,0.029827845972536283
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.0
VCF0886_1.   Increased,-0.04686577118548302
VCF0886_2.   Same,0.05408175929546315
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_1. Yes,0.0
volunteer_2. No,0.0
VCF0890_1.   Increased,0.02550605468588396
VCF0890_2.   Same,-0.025740963039374128
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_1. Close race,0.09870365756208113
VCF9029_3. Win by quite a bit,-0.05026449464330403
approve_president_economy_1. Approve strongly,-0.003993391993468079
approve_president_economy_2. Approve not strongly,-0.2027820298305698
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.546192490877994
VCF9031_1. Yes,0.018021349483582538
VCF9031_5. No,-0.07722570226096004
"approve_pres_strength_1. Approve, strongly",-0.26235807228902375
"approve_pres_strength_2. Approve, not strongly",-0.00090887027959459
"approve_pres_strength_3. Disapprove, not strongly",0.06133338806147093
"approve_pres_strength_4. Disapprove, strongly",0.0
VCF9028_1. Democratic Pres. candidate,0.1284576080961392
VCF9028_2. Republican Pres. candidate,-0.1718879438557269
approve_pres_1. Approve,-0.2417340582908778
approve_pres_2. Disapprove,0.19388494068681278
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.0
ideology7_3. Slightly liberal,0.0
"ideology7_4. Moderate, middle of the road",-0.01440919485807402
ideology7_5. Slightly conservative,0.0
ideology7_6. Conservative,-0.4062073212965224
ideology7_7. Extremely conservative,0.11260355961917638
VCF0130_1. Every week (Except 1970: almost every week),0.04407065610017254
VCF0130_2. Almost every week (no cases in 1970),0.03899501257958014
VCF0130_3. Once or twice a month,-0.10099516632969244
VCF0130_4. A few times a year,0.2641598903068011
VCF0130_5. Never (1990 and later: 'No' in filter),-0.024378501846209516
