feature,importance
Party_id3_1. Democrats (including leaners),1.058938734815491
Interest_elections_3. Very much interested,0.8623473718285186
therm_Christians,0.7844736611582926
therm_DemParty,0.6892925443276015
approve_president_economy_5. Disapprove strongly,0.5461833880971094
religion_2. Catholic [Roman Catholic],0.3932472526277823
therm_hispanics,0.2673037296269972
VCF0130_4. A few times a year,0.2642329977365388
Family_income_4. 68 to 95 percentile,0.25962917855619205
therm_liberals,0.23812467659830147
Party_id7_2. Weak Democrat,0.21238795657688633
approve_pres_2. Disapprove,0.19381828935073425
education7_7. Advanced degrees incl. LLB,0.17556391800738033
authoritarian2_1. Obedience,0.17168749217515522
VCF9028_1. Democratic Pres. candidate,0.12832826686871096
