feature,importance
therm_RepParty,-1.124952408991085
therm_conservatives,-0.7164162367060131
Party_id3_3. Republicans (including leaners),-0.7095352149716346
therm_Whites,-0.49524334208986814
ideology7_6. Conservative,-0.40623521204816626
religion_1. Protestant,-0.31465422316786534
"approve_pres_strength_1. Approve, strongly",-0.26229226863799376
approve_pres_1. Approve,-0.24198871466377966
"Race4_4. Other or multiple races, non-Hispanic",-0.24007978444512248
Race7_4. American Indian or Alaska Native non-Hispanic (1966-2012),-0.24007978444512248
therm_Mislims,-0.2087373374486421
"education7_3. 12 grades, diploma or equivalency",-0.2057197632457565
"education6_3. 12 grades, diploma or equivalency",-0.2057197632457565
approve_president_economy_2. Approve not strongly,-0.20261041644888103
Interest_elections_2. Somewhat interested,-0.17873650189114113
