feature,importance
therm_Christians,-0.08242098959314856
therm_Mislims,0.2743713699645286
therm_ChrFundament,-0.24576828284640212
therm_hispanics,0.03370949277316691
therm_RepParty,-0.9251443374862001
therm_DemParty,0.8999077056841454
therm_Whites,-0.005115182217165826
therm_liberals,0.4746339523442532
therm_conservatives,-0.43984234089352503
therm_Blacks,0.09611572551211797
Age,-0.03322628063682241
howOftenTrust_1. Always,-0.469778182655116
howOftenTrust_2. Most of the time,0.08972126940018586
howOftenTrust_3. About half the time,-0.07100801436867103
howOftenTrust_4. Once in a while,0.12333923479446907
howOftenTrust_5. Never,-0.006399473290972071
follow_political_info_1. Always,0.17650440547650031
follow_political_info_2. Most of the time,0.03936278260763221
follow_political_info_3. About half the time,-0.14908659988056402
follow_political_info_4. Some of the time,-0.039825970365827204
follow_political_info_5. Never,0.4944244606844772
bisexalFamilyorFriends_1. Yes,0.010778974478829867
bisexalFamilyorFriends_2. No,-0.04724663957065085
blackInfluence_Politics_1. Too much influence,-0.49497775955574286
blackInfluence_Politics_2. Just about the right amount,0.023334658764854004
blackInfluence_Politics_3. Too little influence,0.7022605559791822
sex_orientation_1. Heterosexual or straight,-0.07406738353685952
sex_orientation_2. Bisexual,-0.2844318367404967
sex_orientation_3. Homosexual or gay (or lesbian),0.7631670245078119
sex_orientation_unmatched category,-0.02560855029504274
powerDifference_1. It doesn't make a difference who is in power,-0.054854252554634254
powerDifference_unmatched category,0.15092221556803928
powerDifference_unmatched category,0.1248968598585195
powerDifference_unmatched category,-0.15265402203372574
powerDifference_5. It makes a big difference who is in power,-0.12845390585701927
votingMakedifference_1. Won't make a difference,-0.11702271531130301
votingMakedifference_unmatched category,-0.24618638559793507
votingMakedifference_unmatched category,0.012604687427747258
votingMakedifference_unmatched category,0.22971051653065389
votingMakedifference_5. Can make a big difference,0.3259557299487853
satisfactionLife_1. Extremely satisfied,0.23873455023311557
satisfactionLife_2. Very satisfied,0.002899725961193171
satisfactionLife_3. Moderately satisfied,-0.006265711481891226
satisfactionLife_4. Slightly satisfied,-0.02335619012041662
satisfactionLife_5. Not satisfied at all,0.039064625317408425
living_withFamily_1. Yes,0.05155330941200835
living_withFamily_2. No,-0.1589888274690037
satisfactionDemocracy_1. Very satisfied,0.23394987584828045
satisfactionDemocracy_2. Fairly satisfied,0.020188130509250245
satisfactionDemocracy_3. Not very satisfied,-0.07278908804217163
satisfactionDemocracy_4. Not at all satisfied,-0.6138150165927643
meetingCommuntySchool_1. Yes,0.02317950682421341
meetingCommuntySchool_2. No,-0.11995148232506463
workedWithcommunity_1. Yes,-0.0721083984234597
workedWithcommunity_2. No,-0.011497713819840185
have_healthInsurance_1. Yes,-0.14777540783197235
have_healthInsurance_2. No,0.0
authoritarian2_1. Obedience,0.0016255498383109714
authoritarian2_2. Both (VOL),-0.23622934658138356
authoritarian2_3. Self-reliance,0.06122863365545267
authoritarian2_4. Neither (2020),0.0
authoritarian4_1. Independence,0.026958309980374295
authoritarian4_2. Both (VOL),-0.05425552270506702
authoritarian4_3. Respect for elders,-0.16216724435091487
authoritarian1_1. Curiosity,0.06069578416600976
authoritarian1_2. Both (VOL),0.14157525364879936
authoritarian1_3. Good manners,-0.09348341886190796
authoritarian3_1. Being considerate,0.027291368059378845
authoritarian3_2. Both (VOL),0.03512226051456708
authoritarian3_3. Well behaved,0.1022183450260508
VCF0886_1.   Increased,0.39934451055411496
VCF0886_2.   Same,0.21233823201832963
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_1. Yes,-0.00809956820864891
volunteer_2. No,0.02509245822359385
VCF0890_1.   Increased,0.17197645501827435
VCF0890_2.   Same,0.0064103533809793094
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.5580032892772382
VCF9029_1. Close race,0.007770746628083655
VCF9029_3. Win by quite a bit,0.0013729693244712918
approve_president_economy_1. Approve strongly,-0.0583144775177177
approve_president_economy_2. Approve not strongly,0.05358283987789321
approve_president_economy_4. Disapprove not strongly,0.08704500485019287
approve_president_economy_5. Disapprove strongly,-0.14214239336752182
VCF9031_1. Yes,0.0013785942413631301
VCF9031_5. No,-0.09279597738156753
"approve_pres_strength_1. Approve, strongly",0.8019160226269468
"approve_pres_strength_2. Approve, not strongly",0.868000568565144
"approve_pres_strength_3. Disapprove, not strongly",-1.5618436159696274
"approve_pres_strength_4. Disapprove, strongly",-1.311445119942257
VCF9028_1. Democratic Pres. candidate,0.5804860371729212
VCF9028_2. Republican Pres. candidate,-0.45429603717123646
VCF9028_3. Other Pres. candidate,0.39055665210108165
approve_pres_1. Approve,-0.8480025317248708
approve_pres_2. Disapprove,1.516499113613038
ideology7_1. Extremely liberal,0.31439856461995064
ideology7_2. Liberal,0.29351679320561036
ideology7_3. Slightly liberal,0.21838378883952875
"ideology7_4. Moderate, middle of the road",-0.05377437877960185
ideology7_5. Slightly conservative,-0.12965244986364352
ideology7_6. Conservative,-0.20593591186278778
ideology7_7. Extremely conservative,-0.014279759223170036
VCF0130_1. Every week (Except 1970: almost every week),-0.1595561649671445
VCF0130_2. Almost every week (no cases in 1970),0.028145419909023743
VCF0130_3. Once or twice a month,0.10929347229392603
VCF0130_4. A few times a year,-0.039212715949100724
VCF0130_5. Never (1990 and later: 'No' in filter),0.009813636011582059
VCF0130_7. No religious preference (1970-1988),0.06544172591945345
Will_PresElectionClose_1. Will win by quite a bit,0.019461735395257786
Will_PresElectionClose_2. Close race,0.03897055131816962
"VCF9030b_1. Yes, contact by Democratic party",-1.0592336272333136e-06
VCF9030b_2. No contact by Democratic party,0.0030681956863306474
"VCF9030c_1. Yes, contact by Republican party",0.09812672024854799
VCF9030c_2. No contact by Republican party,-0.0036053949744203695
"VCF9030a_1. Yes, contact by major party",0.05738569479054308
VCF9030a_2. No contact by major party,0.08634035205556752
"VCF9030_1. Yes, contact: Democratic party",-0.020546757514601895
"VCF9030_2. Yes, contact: Republican party",0.027108121657537843
"VCF9030_3. Yes, contact: both major parties",0.0
"VCF9030_4. Yes, contact: other",-0.3316344554398716
VCF9030_7. No contact,0.0842387828021598
VCF0720_1. No,-0.03924129731712036
VCF0720_2. Yes,0.07893506270963133
Family_income_1. 0 to 16 percentile,0.07137073286628823
Family_income_2. 17 to 33 percentile,0.007134693383877744
Family_income_3. 34 to 67 percentile,0.012750076001699934
Family_income_4. 68 to 95 percentile,-0.01495648103100188
Family_income_5. 96 to 100 percentile,-0.3571589969375697
Interest_elections_1. Not much interested,-0.025778300291583837
Interest_elections_2. Somewhat interested,-0.0033106507900443004
Interest_elections_3. Very much interested,-0.005075846840415924
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.06634383919918589
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.007813347261689143
VCF0719_1. No,0.00020551984958163734
VCF0719_2. Yes,0.039218260609409306
VCF0718_1. No,-0.0069485911585021945
VCF0718_2. Yes,-0.037405736005280174
Party_id3_1. Democrats (including leaners),1.044777768089978
Party_id3_2. Independents,-0.02966332826857491
Party_id3_3. Republicans (including leaners),-0.9069239173927854
Party_id7_1. Strong Democrat,0.8988142479604633
Party_id7_2. Weak Democrat,-0.042872181238872244
Party_id7_3. Independent - Democrat,0.18851447102058416
Party_id7_4. Independent - Independent,-0.02966332826857491
Party_id7_5. Independent - Republican,-0.08500794330904969
Party_id7_6. Weak Republican,0.08097829673387395
Party_id7_7. Strong Republican,-0.9024507085986574
education6_1. 8 grades or less ('grade school'),0.15095081370002286
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.0047377814868491295
"education6_3. 12 grades, diploma or equivalency",-0.007327581911124989
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.07792802238057685
"education6_5. Some college, no degree; junior/community college",-0.040588540304370334
education6_6. BA level degrees; advanced degrees incl. LLB,0.0037329616571627907
education7_1. 8 grades or less ('grade school'),0.15095081370002286
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.0047377814868491295
"education7_3. 12 grades, diploma or equivalency",-0.007327581911124989
"education7_4. 12 grades, diploma or equivalency plus non-academic",-0.07792802238057685
"education7_5. Some college, no degree; junior/community college",-0.040588540304370334
education7_6. BA level degrees,-0.03674339616081783
education7_7. Advanced degrees incl. LLB,0.3222400141876971
VCF0717_1. No,0.0010897047326537221
VCF0717_2. Yes,-0.00386169600333982
South_1. South,0.04033947806725234
South_2. Nonsouth,-0.0004624979945791486
"region_1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)",0.01295784429767248
"region_2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,",0.10596922896848655
"region_3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC",-0.20631457498028954
"region_4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,",0.0
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,-0.04109200778128721
"Education4_2. High school (12 grades or fewer, incl. non-college",0.14403628909004967
