feature,importance
"approve_pres_strength_3. Disapprove, not strongly",-1.5618436159696274
"approve_pres_strength_4. Disapprove, strongly",-1.311445119942257
therm_RepParty,-0.9251443374862001
Party_id3_3. Republicans (including leaners),-0.9069239173927854
Party_id7_7. Strong Republican,-0.9024507085986574
approve_pres_1. Approve,-0.8480025317248708
satisfactionDemocracy_4. Not at all satisfied,-0.6138150165927643
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.5580032892772382
blackInfluence_Politics_1. Too much influence,-0.49497775955574286
howOftenTrust_1. Always,-0.469778182655116
VCF9028_2. Republican Pres. candidate,-0.45429603717123646
therm_conservatives,-0.43984234089352503
Family_income_5. 96 to 100 percentile,-0.3571589969375697
"VCF9030_4. Yes, contact: other",-0.3316344554398716
sex_orientation_2. Bisexual,-0.2844318367404967
