,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
NY,654,432,1086,835,1740,1267,0.579,0.421
OH,364,405,651,722,1015,1127,0.474,0.526
ID,10,36,67,85,77,121,0.389,0.611
MI,380,334,750,714,1130,1048,0.519,0.481
GA,416,354,410,364,826,718,0.535,0.465
NE,54,82,103,123,157,205,0.434,0.566
MA,243,85,545,306,788,391,0.668,0.332
KY,169,203,218,239,387,442,0.467,0.533
MO,163,203,284,329,447,532,0.457,0.543
NC,423,228,573,414,996,642,0.608,0.392
AR,270,232,241,213,511,445,0.535,0.465
MN,205,97,473,329,678,426,0.614,0.386
TN,205,322,308,383,513,705,0.421,0.579
KS,61,128,133,207,194,335,0.367,0.633
WI,157,118,361,319,518,437,0.542,0.458
IN,176,284,309,399,485,683,0.415,0.585
CT,104,82,271,258,375,340,0.524,0.476
NJ,218,199,427,439,645,638,0.503,0.497
AL,172,219,244,250,416,469,0.47,0.53
OR,142,60,278,203,420,263,0.615,0.385
SD,19,49,70,95,89,144,0.382,0.618
LA,166,141,222,203,388,344,0.53,0.47
DC,48,0,92,4,140,4,0.972,0.028
CA,995,499,1785,1274,2780,1773,0.611,0.389
CO,175,127,324,269,499,396,0.558,0.442
NM,64,24,98,69,162,93,0.635,0.365
IL,274,180,704,545,978,725,0.574,0.426
PA,396,359,730,666,1126,1025,0.523,0.477
TX,848,702,1032,877,1880,1579,0.544,0.456
SC,88,122,175,150,263,272,0.492,0.508
MS,103,98,124,116,227,214,0.515,0.485
IA,93,151,257,359,350,510,0.407,0.593
MD,213,102,345,232,558,334,0.626,0.374
WA,184,92,408,273,592,365,0.619,0.381
VA,385,280,427,349,812,629,0.563,0.437
FL,403,441,708,751,1111,1192,0.482,0.518
ME,53,16,84,62,137,78,0.637,0.363
UT,52,88,103,125,155,213,0.421,0.579
OK,67,83,123,130,190,213,0.471,0.529
AZ,81,99,223,242,304,341,0.471,0.529
WV,55,115,77,105,132,220,0.375,0.625
WY,48,76,52,57,100,133,0.429,0.571
DE,30,3,33,14,63,17,0.788,0.212
NH,47,43,86,76,133,119,0.528,0.472
HI,8,2,19,10,27,12,0.692,0.308
NV,27,11,75,58,102,69,0.596,0.404
ND,1,12,19,42,20,54,0.27,0.73
RI,14,3,27,23,41,26,0.612,0.388
VT,2,0,27,8,29,8,0.784,0.216
MT,3,3,23,23,26,26,0.5,0.5
AK,0,0,2,9,2,9,0.182,0.818
all,9858,7694,16207,14348,26065,22042,0.542,0.458
