,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
NY,644,442,1086,835,1730,1277,0.575,0.425
OH,419,350,651,722,1070,1072,0.5,0.5
ID,16,30,67,85,83,115,0.419,0.581
MI,336,378,750,714,1086,1092,0.499,0.501
GA,516,254,410,364,926,618,0.6,0.4
NE,69,67,103,123,172,190,0.475,0.525
MA,174,154,545,306,719,460,0.61,0.39
KY,177,195,218,239,395,434,0.476,0.524
MO,157,209,284,329,441,538,0.45,0.55
NC,367,284,573,414,940,698,0.574,0.426
AR,316,186,241,213,557,399,0.583,0.417
MN,180,122,473,329,653,451,0.591,0.409
TN,226,301,308,383,534,684,0.438,0.562
KS,67,122,133,207,200,329,0.378,0.622
WI,145,130,361,319,506,449,0.53,0.47
IN,266,194,309,399,575,593,0.492,0.508
CT,122,64,271,258,393,322,0.55,0.45
NJ,202,215,427,439,629,654,0.49,0.51
AL,269,122,244,250,513,372,0.58,0.42
OR,116,86,278,203,394,289,0.577,0.423
SD,20,48,70,95,90,143,0.386,0.614
LA,168,139,222,203,390,342,0.533,0.467
DC,48,0,92,4,140,4,0.972,0.028
CA,882,612,1785,1274,2667,1886,0.586,0.414
CO,156,146,324,269,480,415,0.536,0.464
NM,49,39,98,69,147,108,0.576,0.424
IL,256,198,704,545,960,743,0.564,0.436
PA,301,454,730,666,1031,1120,0.479,0.521
TX,771,779,1032,877,1803,1656,0.521,0.479
SC,86,124,175,150,261,274,0.488,0.512
MS,129,72,124,116,253,188,0.574,0.426
IA,116,128,257,359,373,487,0.434,0.566
MD,169,146,345,232,514,378,0.576,0.424
WA,137,139,408,273,545,412,0.569,0.431
VA,305,360,427,349,732,709,0.508,0.492
FL,390,454,708,751,1098,1205,0.477,0.523
ME,41,28,84,62,125,90,0.581,0.419
UT,79,61,103,125,182,186,0.495,0.505
OK,60,90,123,130,183,220,0.454,0.546
AZ,102,78,223,242,325,320,0.504,0.496
WV,77,93,77,105,154,198,0.438,0.562
WY,58,66,52,57,110,123,0.472,0.528
DE,28,5,33,14,61,19,0.762,0.238
NH,46,44,86,76,132,120,0.524,0.476
HI,5,5,19,10,24,15,0.615,0.385
NV,26,12,75,58,101,70,0.591,0.409
ND,1,12,19,42,20,54,0.27,0.73
RI,14,3,27,23,41,26,0.612,0.388
VT,2,0,27,8,29,8,0.784,0.216
MT,2,4,23,23,25,27,0.481,0.519
AK,0,0,2,9,2,9,0.182,0.818
all,9043,8509,16207,14348,25250,22857,0.525,0.475
