period,4-year-black+white_white,4-year-black+white_black
"1950-
1953",40.02%,80.39%
"1954-
1957",39.24%,64.00%
"1958-
1961",48.42%,73.81%
"1962-
1965",64.50%,100.00%
"1966-
1969",40.93%,96.55%
"1970-
1973",30.26%,86.96%
"1974-
1977",45.97%,95.24%
"1978-
1981",36.25%,93.33%
"1982-
1985",35.62%,91.41%
"1986-
1989",38.94%,91.67%
"1990-
1993",52.18%,94.92%
"1994-
1997",51.50%,98.96%
"1998-
2001",47.03%,92.73%
"2002-
2005",41.10%,87.27%
"2006-
2009",44.96%,99.51%
"2010-
2013",43.87%,97.89%
"2014-
2017",43.23%,95.28%
"2018-
2021",51.72%,94.38%
