period,4-year-black+white_white,4-year-black+white_black
"1950-
1953",59.98%,19.61%
"1954-
1957",60.76%,36.00%
"1958-
1961",51.58%,26.19%
"1962-
1965",35.50%,0.00%
"1966-
1969",59.07%,3.45%
"1970-
1973",69.74%,13.04%
"1974-
1977",54.03%,4.76%
"1978-
1981",63.75%,6.67%
"1982-
1985",64.38%,8.59%
"1986-
1989",61.06%,8.33%
"1990-
1993",47.82%,5.08%
"1994-
1997",48.50%,1.04%
"1998-
2001",52.97%,7.27%
"2002-
2005",58.90%,12.73%
"2006-
2009",55.04%,0.49%
"2010-
2013",56.13%,2.11%
"2014-
2017",56.77%,4.72%
"2018-
2021",48.28%,5.62%
