period,4-year-black+white_white,4-year-black+white_black
"1950-
1953",78.46%,33.12%
"1954-
1957",76.46%,34.93%
"1958-
1961",73.32%,41.06%
"1962-
1965",71.53%,53.67%
"1966-
1969",70.54%,60.97%
"1970-
1973",68.70%,57.98%
"1974-
1977",68.14%,53.99%
"1978-
1981",62.72%,53.61%
"1982-
1985",69.63%,63.91%
"1986-
1989",62.63%,54.88%
"1990-
1993",65.27%,55.04%
"1994-
1997",69.67%,56.53%
"1998-
2001",67.97%,64.98%
"2002-
2005",76.48%,71.32%
"2006-
2009",78.96%,82.31%
"2010-
2013",82.09%,85.60%
"2014-
2017",81.43%,79.71%
"2018-
2021",88.63%,81.68%
