VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
VCF0014  {0.0: '0. No Pre-election interview data present', 1.0: '1. Pre-election interview data present'}
VCF0015a  {0.0: "0. Pre IW not abbreviated [1992:'Long' form Pre]", 1.0: '1. Abbreviated pre IW', 2.0: '2. Spanish Pre'}
VCF0015b  {0.0: '0. Post IW is not abbreviated', 1.0: '1. Abbreviated Post IW', 2.0: '2. Additional Abbreviated Post IWs'}
VCF0016  {0.0: '0. Fresh Cross case', 1.0: '1. Panel case (1958 N  =866; 1960 N  =939; 1974 N  =1100;'}
mode_interview  {0.0: '0. All personal', 1.0: '1. Telephone pre (personal post or no post)', 2.0: '2. Telephone post (personal pre)', 3.0: '3. All telephone', 4.0: '4. All internet', 5.0: '5. All video (2020)'}
language_interview_pre  {0.0: '0. IW conducted entirely in English; 2008,2012: beginning language', 1.0: '1. Some or all of IW translated to Spanish', 3.0: '3. Some or all of IW translated to French', 5.0: '5. Some or all of IW translated to non-English language other than Spanish or French', 7.0: '7. Some or all of IW translated to non-English language but NA which language', 9.0: '9. NA if English or other language'}
language_interview_Post  {0.0: '0. IW conducted entirely in English; 2008,2012: beginning language', 1.0: '1. Some or all of IW translated to Spanish', 3.0: '3. Some or all of IW translated to French', 4.0: '4. Some or all of IW conducted in either Spanish or French', 5.0: '5. Some or all of IW translated to non-English language other than Spanish or French', 7.0: '7. Some or all of IW translated to non-English language but NA which language', 9.0: '9. NA if English or other language'}
VCF0019  {0.0: '0. No Pre IW (1952,1960)', 1.0: '1. R is head of household', 2.0: '2. R is spouse of head of household', 3.0: '3. R is neither head of household nor spouse of head', 9.0: '9. NA'}
level_politicalInfo_pre  {1.0: '1. Very high', 2.0: '2. Fairly high', 3.0: '3. Average', 4.0: '4. Fairly low', 5.0: '5. Very low', 9.0: '9. NA'}
level_politicalInfo_Post  {0.0: '0. no Post IW; abbrev. Post IW (1984); web  mode (2012,2016)', 1.0: '1. Very high', 2.0: '2. Fairly high', 3.0: '3. Average', 4.0: '4. Fairly low', 5.0: '5. Very low', 9.0: '9. NA'}
interviewer_gender_pre  {1.0: '1. Male', 2.0: '2. Female', 9.0: '9. NA'}
interviewer_gender_Post  {0.0: '0. no Post IW', 1.0: '1. Male', 2.0: '2. Female', 9.0: '9. NA'}
interviewer_race_pre  {1.0: '1. White', 2.0: '2. Black', 3.0: '3. Native American', 4.0: '4. Asian', 7.0: '7. Other', 9.0: '9. NA'}
interviewer_race_Post  {0.0: '0. no Post IW', 1.0: '1. White', 2.0: '2. Black', 3.0: '3. Native American', 4.0: '4. Asian', 7.0: '7. Other', 9.0: '9. NA'}
VCF0071c  {1.0: '1. White', 2.0: '2. Nonwhite (2012: and other)', 7.0: '7. Other', 9.0: '9. NA'}
VCF0071d  {1.0: '1. White', 2.0: '2. Nonwhite (2012: and other)', 7.0: '7. Other', 9.0: '9. NA'}
interviewer_ethnicity_pre  {1.0: '1. Non-Hispanic', 2.0: '2. Hispanic', 7.0: '7. Other', 9.0: '9. NA'}
interviewer_ethnicty_Post  {0.0: '0. no Post IW', 1.0: '1. Non-Hispanic', 2.0: '2. Hispanic', 7.0: '7. Other', 9.0: '9. NA'}
Age  {0.0: '00. NA; DK; RF; no Pre IW', 97.0: '97. 97 years old (1952, 1974, 1996 and later: or older); 2012,2016: 90=', 98.0: '98. 98 years old (1958-1962, 1966, 1968: or older)', 99.0: '99. 99 years old (1976-1990,1994,2002: or older)'}
Age_group  {0.0: '0. NA; DK; RF; no Pre IW', 1.0: '1. 17 - 24', 2.0: '2. 25 - 34', 3.0: '3. 35 - 44', 4.0: '4. 45 - 54', 5.0: '5. 55 - 64', 6.0: '6. 65 - 74', 7.0: '7. 75 - 99 and over (except 1954)'}
cohort  {0.0: '0. NA; DK; RF; no Pre IW', 1.0: '1. 1991 - present', 2.0: '2. 1975 - 1990', 3.0: '3. 1959 - 1974', 4.0: '4. 1943 - 1958', 5.0: '5. 1927 - 1942', 6.0: '6. 1911 - 1926', 7.0: '7. 1895 - 1910', 8.0: '8. Before 1895'}
Gender  {0.0: '0. NA; no Pre IW', 1.0: '1. Male', 2.0: '2. Female', 3.0: '3. Other (2016)'}
Race7  {1.0: '1. White non-Hispanic (1948-2012)', 2.0: '2. Black non-Hispanic (1948-2012)', 3.0: '3. Asian or Pacific Islander, non-Hispanic (1966-2012)', 4.0: '4. American Indian or Alaska Native non-Hispanic (1966-2012)', 5.0: '5. Hispanic (1966-2012)', 6.0: '6. Other or multiple races, non-Hispanic (1968-2012)', 7.0: '7. Non-white and non-black (1948-1964)', 9.0: '9. Missing'}
Race4  {0.0: '0. Missing, pre-1966 data', 1.0: '1. White non-Hispanic', 2.0: '2. Black non-Hispanic', 3.0: '3. Hispanic', 4.0: '4. Other or multiple races, non-Hispanic', 9.0: '9. Missing, DK/REF/NA'}
Race3  {0.0: '0. Missing, pre-1966 data', 1.0: '1. White non-Hispanic', 2.0: '2. Black non-Hispanic', 3.0: '3. Other', 9.0: '9. Missing, DK/REF/NA'}
Hispanic_type  {0.0: "0. Short-form 'new' Cross Section (1992)", 1.0: '1. Yes, Mexican-American, Chicano', 2.0: '2. Yes, Puerto Rican', 3.0: '3. Yes, other Hispanic', 4.0: '4. Yes, Hispanic but DK/NA type', 7.0: '7. No, not Hispanic', 8.0: '8. DK if Hispanic', 9.0: '9. NA if Hispanic'}
Hispanic_origin  {0.0: "0. Short-form 'new' Cross Section (1992)", 1.0: '1. Yes, R is Hispanic', 2.0: '2. No, R is not Hispanic', 8.0: '8. DK', 9.0: '9. NA'}
VCF0109  {0.0: "000. Short-form 'new' Cross Section (1992)", 877.0: "877. 'American'; 'Just American'; none; neither", 888.0: '888. DK'}
Education4  {0.0: "0. DK; NA; no Pre IW; short-form 'new' Cross Section", 1.0: '1. Grade school or less (0-8 grades); 2020: less than high school credential', 2.0: '2. High school (12 grades or fewer, incl. non-college', 3.0: '3. Some college (13 grades or more but no degree;', 4.0: '4. College or advanced degree (no cases 1948)'}
urbanism  {0.0: '0. NA; telephone (RDD) sample (2000)', 1.0: '1. Central cities', 2.0: '2. Suburban areas', 3.0: '3. Rural, small towns, outlying and adjacent areas'}
region  {0.0: '0. NA (1948)', 1.0: '1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)', 2.0: '2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,', 3.0: '3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC', 4.0: '4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,'}
South  {1.0: '1. South', 2.0: '2. Nonsouth'}
Family_income  {0.0: '0. DK; NA; refused to answer; no Pre IW', 1.0: '1. 0 to 16 percentile', 2.0: '2. 17 to 33 percentile', 3.0: '3. 34 to 67 percentile', 4.0: '4. 68 to 95 percentile', 5.0: '5. 96 to 100 percentile'}
occupation  {0.0: '0. NA; member of armed forces; no occupation and not a', 1.0: '1. Professional and managerial', 2.0: '2. Clerical and sales workers', 3.0: '3. Skilled, semi-skilled and service workers', 4.0: '4. Laborers, except farm', 5.0: '5. Farmers, farm managers, farm laborers and foremen;', 6.0: '6. Homemakers (1972-1992: 7 IN VCF0116, 4 in VCF0118;'}
VCF0116  {1.0: '1. Working now', 2.0: '2. Temporarily laid off', 4.0: '4. Unemployed', 5.0: '5. Retired', 6.0: '6. Permanently disabled', 7.0: '7. Homemaker', 8.0: '8. Student', 9.0: '9. NA; DK'}
VCF0117  {1.0: '1. Working now', 2.0: '2. Temporarily laid off', 4.0: "4. Unemployed (1972 adds 'looking for work.')", 5.0: '5. Retired', 6.0: '6. Permanently disabled', 7.0: '7. Housewife (not working at least 20 hrs. per wk.)', 8.0: '8. Student (not working at least 20 hrs. per wk.)', 9.0: '9. NA; DK'}
work_status5  {1.0: '1. Employed', 2.0: '2. Not employed: laid off, unemployed, on strike,', 3.0: '3. Retired', 4.0: '4. Homemaker (since 1972: not working 20 or more hrs/wk;', 5.0: '5. Student (since 1972: not working 20 or more hrs/wk;', 9.0: '9. DK; NA; no Pre IW'}
VCF0119  {1.0: '1. Employed', 2.0: '2. Not employed: laid off, unemployed, on strike,', 3.0: "3. Retired (1966 adds 'over 65')", 4.0: '4. Homemaker (see VCF0118)', 5.0: '5. Student (see VCF0118)', 9.0: '9. DK; NA; no Pre IW'}
VCF0120  {0.0: '000. R has never worked (unemployed or disabled)--', 998.0: '998. R is member of armed forces or former member'}
VCF0121  {0.0: '000. R has never worked (unemployed or disabled)-', 998.0: '998. Head is member of armed forces or former member', 999.0: "999. NA if Head is working now/has ever worked; Head's"}
VCF0122  {0.0: '000. R has never worked (unemployed or disabled)--', 998.0: "998. R is member of armed forces or former member; R's"}
VCF0123  {0.0: '000. Head has never worked (unemployed or', 998.0: '998. Head is member of armed forces or former member;', 999.0: "999. NA if Head is working now/has ever worked; Head's"}
VCF0124  {0.0: '00. R is housewife, student (or student with job),', 98.0: "98. R is member of armed forces or former member; R's", 99.0: "99. NA if R is working now/ has ever worked; R's"}
VCF0125  {0.0: '00. Head is housewife, student (or student with', 98.0: '98. Head is member of armed forces or former member;', 99.0: "99. NA if Head is working now/has ever worked; Head's"}
VCF0126  {0.0: "0. DK; NA; father wasn't living/not raised by father/no", 1.0: '1. Professional and managerial', 2.0: '2. Clerical and sales workers', 3.0: '3. Skilled, semi-skilled and service workers', 4.0: '4. Laborers, except farm', 5.0: '5. Farmers, farm managers, farm laborers and foremen'}
VCF0126a  {0.0: "0. Father wasn't living; not raised by father; no", 1.0: '1. Professional, technical and kindred workers', 2.0: '2. Managers, officials and proprietors exc. farm', 3.0: '3. Clerical and kindred workers, sales workers', 4.0: '4. Craftsmen, foremen and kindred workers and', 5.0: '5. Operative and kindred workers', 6.0: '6. Service workers, including private household', 7.0: '7. Laborers, except farm', 8.0: '8. Farm laborers and foremen; farmers; owners,', 9.0: '9. Occupation not reported (NA); members of armed'}
VCF0126b  {0.0: "00. Father wasn't living; not raised by father; no", 1.0: '01. Professional, technical and kindred workers', 2.0: '02. Managers and administrators, except farm', 3.0: '03. Sales workers', 4.0: '04. Clerical and kindred workers', 5.0: '05. Craftsmen and kindred workers', 6.0: '06. Operatives, except transport', 7.0: '07. Transport equipment operatives', 8.0: '08. Laborers, except farm', 9.0: '09. Farmers (owners and tenants), farm managers,', 10.0: '10. Farm foreman, farm laborer (wage-worker)', 11.0: '11. Service workers, except private household and', 12.0: '12. Government protective services: firemen; police;', 13.0: '13. Private household workers', 14.0: '14. Member of armed forces', 15.0: '15. Not in labor force', 98.0: '98. DK', 99.0: '99. NA'}
VCF0126c  {0.0: "00. Father wasn't living; not raised by father;", 1.0: '01. Executive, administrative and managerial', 2.0: '02. Professional speciality occupations', 3.0: '03. Technicians and related support occupations', 4.0: '04. Sales occupation', 5.0: '05. Administrative support, including clerical', 6.0: '06. Private household', 7.0: '07. Protective service', 8.0: '08. Service exc. protective and household', 9.0: '09. Farming, forestry and fishing occupations', 10.0: '10. Precision production, craft and repair occupations', 11.0: '11. Machine operators, assemblers and inspectors', 12.0: '12. Transportation and material, moving occupations', 13.0: '13. Handler, equipment cleaners, helpers and laborers', 14.0: '14. Member of armed forces', 15.0: '15. Not in labor force', 98.0: '98. DK', 99.0: '99. NA'}
VCF0127  {0.0: "0. DK; NA; no Pre IW; short-form 'new' Cross", 1.0: '1. Yes, someone (1948: head) in household belongs to a', 2.0: '2. No, no one in household belongs to a labor union'}
VCF0127a  {0.0: '00. No one', 11.0: '11. Respondent only', 12.0: '12. Spouse only', 13.0: '13. Other household member only', 21.0: '21. R and spouse', 22.0: '22. R and other household member', 23.0: '23. Spouse and other household member', 31.0: '31. R, spouse and other household member', 99.0: "99. DK; NA; DK/NA if anyone in union; short-form 'new'"}
VCF0127b  {0.0: '0. No one', 1.0: '1. R only', 2.0: '2. Someone other than R only', 3.0: '3. R and someone other than R', 9.0: "9. DK; NA; no Pre IW; short-form 'new' Cross"}
religion  {0.0: '0. DK; NA; refused to answer; no Pre IW; no Post IW;', 1.0: '1. Protestant', 2.0: '2. Catholic [Roman Catholic]', 3.0: '3. Jewish', 4.0: '4. Other and none (also includes DK preference)'}
VCF0128a  {1.0: '1. Mainline Protestant', 2.0: '2. Evangelical Protestant', 3.0: '3. Catholic [Roman Catholic]', 4.0: '4. Jewish', 5.0: '5. Non-traditional orthodox', 6.0: '6. Non-Christian/Non-Jewish', 7.0: '7. Atheist, agnostic, none', 9.0: '9. DK; NA; refused to answer; no Pre IW; no Post IW;'}
